X	Y	Bed_Alt
582904.2921	130962.5012	2793.443
582906.2921	130962.5012	2793.91
582752.2921	130960.5012	2755.315
582754.2921	130960.5012	2756.082
582906.2921	130960.5012	2794.184
582908.2921	130960.5012	2794.426
582750.2921	130958.5012	2755.075
582752.2921	130958.5012	2755.829
582908.2921	130958.5012	2794.672
582910.2921	130958.5012	2794.961
582750.2921	130956.5012	2755.329
582910.2921	130956.5012	2795.483
582912.2921	130956.5012	2795.86
582914.2921	130956.5012	2796.294
582748.2921	130954.5012	2755.031
582750.2921	130954.5012	2755.659
582914.2921	130954.5012	2796.752
582916.2921	130954.5012	2797.196
582746.2921	130952.5012	2754.615
582748.2921	130952.5012	2755.364
582916.2921	130952.5012	2797.606
582918.2921	130952.5012	2798.03
582744.2921	130950.5012	2754.305
582746.2921	130950.5012	2755.034
582918.2921	130950.5012	2798.449
582920.2921	130950.5012	2798.909
582742.2921	130948.5012	2754.214
582744.2921	130948.5012	2754.93
582920.2921	130948.5012	2799.403
582922.2921	130948.5012	2799.944
582740.2921	130946.5012	2754.49
582742.2921	130946.5012	2755.165
582922.2921	130946.5012	2800.554
582924.2921	130946.5012	2801.205
582738.2921	130944.5012	2754.695
582740.2921	130944.5012	2755.437
582924.2921	130944.5012	2801.771
582926.2921	130944.5012	2802.34
582736.2921	130942.5012	2754.994
582738.2921	130942.5012	2755.659
582926.2921	130942.5012	2802.904
582928.2921	130942.5012	2803.461
582736.2921	130940.5012	2756.004
582928.2921	130940.5012	2804.07
582734.2921	130938.5012	2756.351
582736.2921	130938.5012	2757.049
582928.2921	130938.5012	2804.724
582930.2921	130938.5012	2805.333
582732.2921	130936.5012	2756.424
582734.2921	130936.5012	2757.182
582930.2921	130936.5012	2805.876
582932.2921	130936.5012	2806.552
582730.2921	130934.5012	2756.231
582732.2921	130934.5012	2757.156
582932.2921	130934.5012	2807.045
582934.2921	130934.5012	2807.624
582728.2921	130932.5012	2756.009
582730.2921	130932.5012	2756.885
582934.2921	130932.5012	2808.062
582936.2921	130932.5012	2808.553
582726.2921	130930.5012	2755.825
582728.2921	130930.5012	2756.594
582936.2921	130930.5012	2808.943
582938.2921	130930.5012	2809.36
582724.2921	130928.5012	2755.739
582726.2921	130928.5012	2756.455
582938.2921	130928.5012	2809.625
582940.2921	130928.5012	2809.966
582722.2921	130926.5012	2755.73
582724.2921	130926.5012	2756.45
582940.2921	130926.5012	2810.118
582942.2921	130926.5012	2810.345
582720.2921	130924.5012	2755.695
582722.2921	130924.5012	2756.528
582942.2921	130924.5012	2810.535
582944.2921	130924.5012	2810.835
582718.2921	130922.5012	2755.834
582720.2921	130922.5012	2756.567
582944.2921	130922.5012	2811.124
582946.2921	130922.5012	2811.572
582948.2921	130922.5012	2812.3
582716.2921	130920.5012	2755.895
582718.2921	130920.5012	2756.512
582948.2921	130920.5012	2812.639
582950.2921	130920.5012	2813.649
582714.2921	130918.5012	2756.125
582716.2921	130918.5012	2756.498
582950.2921	130918.5012	2814.142
582952.2921	130918.5012	2815.006
582954.2921	130918.5012	2815.764
582712.2921	130916.5012	2756.275
582714.2921	130916.5012	2756.604
582954.2921	130916.5012	2815.978
582956.2921	130916.5012	2816.881
582710.2921	130914.5012	2756.423
582712.2921	130914.5012	2756.725
582956.2921	130914.5012	2817.125
582710.2921	130912.5012	2756.881
582708.2921	130910.5012	2757.327
582710.2921	130910.5012	2757.591
582706.2921	130908.5012	2757.668
582708.2921	130908.5012	2758.136
582704.2921	130906.5012	2757.882
582706.2921	130906.5012	2758.531
582702.2921	130904.5012	2757.981
582704.2921	130904.5012	2758.588
582958.2921	130914.5012	2818.366
582960.2921	130914.5012	2819.224
582960.2921	130912.5012	2819.356
582962.2921	130912.5012	2820.158
582962.2921	130910.5012	2820.317
582964.2921	130910.5012	2821.026
582966.2921	130910.5012	2821.864
582966.2921	130908.5012	2822.231
582968.2921	130908.5012	2823.271
582968.2921	130906.5012	2823.705
582970.2921	130906.5012	2824.792
582972.2921	130906.5012	2825.814
582972.2921	130904.5012	2825.994
582974.2921	130904.5012	2827.032
582974.2921	130902.5012	2827.465
582976.2921	130902.5012	2828.469
582976.2921	130900.5012	2828.894
582978.2921	130900.5012	2829.804
582980.2921	130900.5012	2830.65
582980.2921	130898.5012	2831.145
582982.2921	130898.5012	2832.019
582982.2921	130896.5012	2832.616
582984.2921	130896.5012	2833.334
582986.2921	130896.5012	2834.205
582986.2921	130894.5012	2834.906
582988.2921	130894.5012	2836.219
582988.2921	130892.5012	2836.847
582990.2921	130892.5012	2838.311
582992.2921	130892.5012	2839.559
582992.2921	130890.5012	2840.247
582994.2921	130890.5012	2841.246
582994.2921	130888.5012	2841.532
582996.2921	130888.5012	2842.381
582998.2921	130888.5012	2843.653
582998.2921	130886.5012	2844.133
583000.2921	130886.5012	2845.739
583000.2921	130884.5012	2846.391
583002.2921	130884.5012	2847.34
583004.2921	130884.5012	2848.064
583004.2921	130882.5012	2848.824
583006.2921	130882.5012	2849.603
583006.2921	130880.5012	2850.477
583008.2921	130880.5012	2851.93
583008.2921	130878.5012	2852.529
583010.2921	130878.5012	2853.757
583012.2921	130878.5012	2855.16
583012.2921	130876.5012	2855.753
583014.2921	130876.5012	2857.454
583012.2921	130874.5012	2856.005
583012.2921	130872.5012	2855.995
583012.2921	130870.5012	2856.088
583012.2921	130868.5012	2856.443
583010.2921	130866.5012	2855.541
583012.2921	130866.5012	2857.151
583010.2921	130864.5012	2856.697
583010.2921	130862.5012	2857.905
583010.2921	130860.5012	2858.926
583010.2921	130858.5012	2859.763
583008.2921	130856.5012	2859.264
583010.2921	130856.5012	2860.166
583008.2921	130854.5012	2859.559
583008.2921	130852.5012	2859.63
583008.2921	130850.5012	2860.084
583008.2921	130848.5012	2860.686
583006.2921	130846.5012	2860.652
583008.2921	130846.5012	2861.49
583006.2921	130844.5012	2861.511
583006.2921	130842.5012	2862.299
583006.2921	130840.5012	2863.099
583004.2921	130838.5012	2862.865
583006.2921	130838.5012	2864.297
583004.2921	130836.5012	2863.425
583004.2921	130834.5012	2863.985
583004.2921	130832.5012	2864.552
